"id","Moves_identifier","identifier","power","pp","accuracy","priority","Move_targets_identifier","Move_damage_classes_identifier","short_effect","effect","effect_chance","Move_meta_categories_identifier","Move_meta_ailments_identifier","min_hits","max_hits","min_turns","max_turns","drain","healing","crit_rate","ailment_chance","flinch_chance","stat_chance","flavor_text","stat_id","effectivity","flags","change"
171,"nightmare","ghost",,15,"100",0,"selected-pokemon","status","Target loses 1/4 its max HP every turn as long as it's asleep.","Only works on [sleep]{mechanic:sleep}ing Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max [HP]{mechanic:hp} every turn.  If the target wakes up or leaves the [field]{mechanic:field}, this effect ends.",,"ailment","nightmare",,,,,0,0,0,0,0,0,"A sleeping target sees a nightmare
that inflicts some damage every turn.",,,,
172,"flame-wheel","fire","60",25,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to [burn]{mechanic:burn} the target.  Lets frozen Pokémon thaw themselves.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn} the target.  [Frozen]{mechanic:frozen} Pokémon may use this move, in which case they will thaw.","10","damage+ailment","burn",,,,,0,0,0,10,0,0,"The user cloaks itself in fire and
charges at the target.
This may also leave the target with a burn.",,,,
173,"snore","normal","50",15,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to make the target flinch.  Only works if the user is sleeping.","Only usable if the user is [sleep]{mechanic:sleep}ing.  Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to make the target []{mechanic:flinch}.","30","damage","none",,,,,0,0,0,0,30,0,"An attack that can be used only if the
user is asleep. The harsh noise may also
make the target flinch.",,,,
174,"curse","ghost",,10,,0,"specific-move","status","Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.","If the user is a []{type:ghost}: user pays half its max [HP]{mechanic:hp} to place a curse on the target, damaging it for 1/4 its max [HP]{mechanic:hp} every turn.
Otherwise: Lowers the user's [Speed]{mechanic:speed} by one [stage]{mechanic:stage}, and r",,"unique","none",,,,,0,0,0,0,0,0,"A move that works differently for the
Ghost type than for all other types.",,,,
175,"flail","normal",,15,"100",0,"selected-pokemon","physical","Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","Inflicts [regular damage]{mechanic:regular-damage}.  Power varies inversely with the user's proportional remaining [HP]{mechanic:hp}.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5",,"damage","none",,,,,0,0,0,0,0,0,"The user flails about aimlessly to attack.
The less HP the user has,
the greater the move’s power.",,,,
176,"conversion-2","normal",,30,,0,"selected-pokemon","status","Changes the user's type to a random type either resistant or immune to the last move used against it.","Changes the user's type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will [fail]{mechanic:fail}.",,"unique","none",,,,,0,0,0,0,0,0,"The user changes its type to make itself
resistant to the type of the attack the
opponent used last.",,,,
177,"aeroblast","flying","100",5,"95",0,"selected-pokemon","special","Has an increased chance for a critical hit.","Inflicts [regular damage]{mechanic:regular-damage}.  User's [critical hit]{mechanic:critical-hit} rate is one level higher when using this move.",,"damage","none",,,,,0,0,1,0,0,0,"A vortex of air is shot at the target to
inflict damage.
Critical hits land more easily.",,,,
178,"cotton-spore","grass",,40,"100",0,"all-opponents","status","Lowers the target's Speed by two stages.","Lowers the target's [Speed]{mechanic:speed} by two [stages]{mechanic:stage}.",,"net-good-stats","none",,,,,0,0,0,0,0,0,"The user releases cotton-like spores
that cling to the opposing Pokémon,
which harshly lowers their Speed stats.","6",,,"-2"
179,"reversal","fighting",,15,"100",0,"selected-pokemon","physical","Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","Inflicts [regular damage]{mechanic:regular-damage}.  Power varies inversely with the user's proportional remaining [HP]{mechanic:hp}.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5",,"damage","none",,,,,0,0,0,0,0,0,"An all-out attack that becomes more
powerful the less HP the user has.",,,,
180,"spite","ghost",,10,"100",0,"selected-pokemon","status","Lowers the PP of the target's last used move by 4.","Lowers the PP of the target's last used move by 4.  If the target hasn't used a move since entering the [field]{mechanic:field}, if it tried to use a move this turn and [failed]{mechanic:failed}, or if its last used move has 0 PP remaining, this move will",,"unique","none",,,,,0,0,0,0,0,0,"The user unleashes its grudge on the move
last used by the target by cutting 4 PP
from it.",,,,
181,"powder-snow","ice","40",25,"100",0,"all-opponents","special","Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.","10","damage+ailment","freeze",,,,,0,0,0,10,0,0,"The user attacks with a chilling gust
of powdery snow.
This may also freeze the opposing Pokémon.",,,,
182,"protect","normal",,10,,4,"user","status","Prevents any moves from hitting the user this turn.","No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will [fail]{mechanic:fail}.

If the user successfully used []{move:detect}, []{move:endure}, []{move:protect}, []{move:quick-guard}, or []{move:w",,"unique","none",,,,,0,0,0,0,0,0,"Enables the user to evade all attacks.
Its chance of failing rises if it is used
in succession.",,,,
183,"mach-punch","fighting","40",30,"100",1,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"The user throws a punch at blinding
speed. This move always goes first.",,,,
184,"scary-face","normal",,10,"100",0,"selected-pokemon","status","Lowers the target's Speed by two stages.","Lowers the target's [Speed]{mechanic:speed} by two [stages]{mechanic:stage}.",,"net-good-stats","none",,,,,0,0,0,0,0,0,"The user frightens the target with a scary
face to harshly lower its Speed stat.","6",,,"-2"
185,"feint-attack","dark","60",20,,0,"selected-pokemon","physical","Never misses.","Inflicts [regular damage]{mechanic:regular-damage}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.",,"damage","none",,,,,0,0,0,0,0,0,"The user approaches the target
disarmingly, then throws a sucker punch.
This attack never misses.",,,,
186,"sweet-kiss","fairy",,10,"75",0,"selected-pokemon","status","Confuses the target.","[Confuse]{mechanic:confuse}s the target.",,"ailment","confusion",,,"2","5",0,0,0,0,0,0,"The user kisses the target with a sweet,
angelic cuteness that causes confusion.",,,,
187,"belly-drum","normal",,10,,0,"user","status","User pays half its max HP to max out its Attack.","User pays half its max [HP]{mechanic:hp} to raise its [Attack]{mechanic:attack} to +6 [stages]{mechanic:stage}.  If the user cannot pay the [HP]{mechanic:hp} cost, this move will [fail]{mechanic:fail}.",,"unique","none",,,,,0,0,0,0,0,0,"The user maximizes its Attack stat in
exchange for HP equal to half its max HP.",,,,
188,"sludge-bomb","poison","90",10,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to [poison]{mechanic:poison} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [poison]{mechanic:poison} the target.","30","damage+ailment","poison",,,,,0,0,0,30,0,0,"Unsanitary sludge is hurled at the target.
This may also poison the target.",,,,
189,"mud-slap","ground","20",10,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to lower the target's accuracy by one stage.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to lower the target's [accuracy]{mechanic:accuracy} by one [stage]{mechanic:stage}.","100","damage+lower","none",,,,,0,0,0,0,0,100,"The user hurls mud in the target’s face to
inflict damage and lower its accuracy.","7",,,"-1"
190,"octazooka","water","65",10,"85",0,"selected-pokemon","special","Has a $effect_chance% chance to lower the target's accuracy by one stage.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to lower the target's [accuracy]{mechanic:accuracy} by one [stage]{mechanic:stage}.","50","damage+lower","none",,,,,0,0,0,0,0,50,"The user attacks by spraying ink in the
target’s face or eyes.
This may also lower the target’s accuracy.","7",,,"-1"
191,"spikes","ground",,20,,0,"opponents-field","status","Scatters Spikes, hurting opposing Pokémon that switch in.","Scatters spikes around the opposing [field]{mechanic:field}, which damage opposing Pokémon that enter the [field]{mechanic:field} for 1/8 of their max [HP]{mechanic:hp}.  Pokémon immune to []{type:ground} moves are immune to this damage, except during [",,"field-effect","none",,,,,0,0,0,0,0,0,"The user lays a trap of spikes at the
opposing team’s feet. The trap hurts
Pokémon that switch into battle.",,,,
192,"zap-cannon","electric","120",5,"50",0,"selected-pokemon","special","Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [paralyze]{mechanic:paralyze} the target.","100","damage+ailment","paralysis",,,,,0,0,0,100,0,0,"The user fires an electric blast like a
cannon to inflict damage and
cause paralysis.",,,,
193,"foresight","normal",,40,,0,"selected-pokemon","status","Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.","Resets the target's [evasion]{mechanic:evasion} to normal and prevents any further boosting until the target leaves the [field]{mechanic:field}.  A []{type:ghost} under this effect takes normal damage from []{type:normal} and []{type:fighting} moves.  Thi",,"ailment","no-type-immunity",,,,,0,0,0,0,0,0,"Enables a Ghost-type target to be hit by
Normal- and Fighting-type attacks. This also
enables an evasive target to be hit.",,,,
194,"destiny-bond","ghost",,5,,0,"user","status","If the user faints this turn, the target automatically will, too.","If the user [faints]{mechanic:faints} before its next move, the Pokémon that [faint]{mechanic:faint}ed it will automatically [faint]{mechanic:faint}.  End-of-turn damage is ignored.

This move cannot be selected by []{move:assist} or []{move:metronome}",,"unique","none",,,,,0,0,0,0,0,0,"When this move is used, if the user faints,
the Pokémon that landed the knockout
hit also faints.",,,,
195,"perish-song","normal",,5,,0,"all-pokemon","status","User and target both faint after three turns.","Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pokémon's counter reaches zero, that Pokémon [faint]{mechanic:faint}s.  A Pokémon that leaves the [field]{mechanic:field} will l",,"ailment","perish-song",,,"4","4",0,0,0,0,0,0,"Any Pokémon that hears this song
faints in three turns, unless it switches
out of battle.",,,,
196,"icy-wind","ice","55",15,"95",0,"all-opponents","special","Has a $effect_chance% chance to lower the target's Speed by one stage.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to lower the target's [Speed]{mechanic:speed} by one [stage]{mechanic:stage}.","100","damage+lower","none",,,,,0,0,0,0,0,100,"The user attacks with a gust of chilled air.
This also lowers the opposing Pokémon’s
Speed stats.","6",,,"-1"
197,"detect","fighting",,5,,4,"user","status","Prevents any moves from hitting the user this turn.","No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will [fail]{mechanic:fail}.

If the user successfully used []{move:detect}, []{move:endure}, []{move:protect}, []{move:quick-guard}, or []{move:w",,"unique","none",,,,,0,0,0,0,0,0,"Enables the user to evade all attacks.
Its chance of failing rises if it is used
in succession.",,,,
198,"bone-rush","ground","25",10,"90",0,"selected-pokemon","physical","Hits 2-5 times in one turn.","Inflicts [regular damage]{mechanic:regular-damage}.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,"damage","none","2","5",,,0,0,0,0,0,0,"The user strikes the target with a hard
bone two to five times in a row.",,,,
199,"lock-on","normal",,5,,0,"selected-pokemon","status","Ensures that the user's next move will hit the target.","If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.

One-hit KO moves are also guarante",,"unique","none",,,,,0,0,0,0,0,0,"The user takes sure aim at the target.
This ensures the next attack does not
miss the target.",,,,
200,"outrage","dragon","120",10,"100",0,"random-opponent","physical","Hits every turn for 2-3 turns, then confuses the user.","Inflicts [regular damage]{mechanic:regular-damage}.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes [confused]{mechanic:confused}.

[]{move:safeguard} does not protect against the [confu",,"damage","none",,,,,0,0,0,0,0,0,"The user rampages and attacks for two
to three turns.
The user then becomes confused.",,,,
201,"sandstorm","rock",,10,,0,"entire-field","status","Changes the weather to a sandstorm for five turns.","Changes the weather to a sandstorm for five turns.  Pokémon that are not []{type:ground}, []{type:rock}, or []{type:steel} take 1/16 their max [HP]{mechanic:hp} at the end of every turn.  Every []{type:rock} Pokémon's original [Special Defense]{mechanic",,"whole-field-effect","none",,,,,0,0,0,0,0,0,"A five-turn sandstorm is summoned
to hurt all combatants except the
Rock, Ground, and Steel types.",,,,
202,"giga-drain","grass","75",10,"100",0,"selected-pokemon","special","Drains half the damage inflicted to heal the user.","Inflicts [regular damage]{mechanic:regular-damage}.  [Drains]{mechanic:drain} half the damage inflicted to heal the user.",,"damage+heal","none",,,,,50,0,0,0,0,0,"A nutrient-draining attack. The user’s
HP is restored by half the damage
taken by the target.",,,,
203,"endure","normal",,10,,4,"user","status","Prevents the user's HP from lowering below 1 this turn.","The user's [HP]{mechanic:hp} cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used []{move:detect}, []{move:endure}, []{move:protect}, []{move:quick-guard}, or []{move:wide-guard} on the last turn, this mo",,"unique","none",,,,,0,0,0,0,0,0,"The user endures any attack with at least
1 HP. Its chance of failing rises if it is
used in succession.",,,,
204,"charm","fairy",,20,"100",0,"selected-pokemon","status","Lowers the target's Attack by two stages.","Lowers the target's [Attack]{mechanic:attack} by two [stages]{mechanic:stage}.",,"net-good-stats","none",,,,,0,0,0,0,0,0,"The user gazes at the target rather
charmingly, making it less wary.
This harshly lowers its Attack stat.","2",,,"-2"
205,"rollout","rock","30",20,"90",0,"selected-pokemon","physical","Power doubles every turn this move is used in succession after the first, resetting after five turns.","Inflicts [regular damage]{mechanic:regular-damage}.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or become",,"damage","none",,,,,0,0,0,0,0,0,"The user continually rolls into the target
over five turns. It becomes more powerful
each time it hits.",,,,
206,"false-swipe","normal","40",40,"100",0,"selected-pokemon","physical","Cannot lower the target's HP below 1.","Inflicts [regular damage]{mechanic:regular-damage}.  Will not reduce the target's [HP]{mechanic:hp} below 1.",,"damage","none",,,,,0,0,0,0,0,0,"A restrained attack that prevents the
target from fainting.
The target is left with at least 1 HP.",,,,
207,"swagger","normal",,15,"90",0,"selected-pokemon","status","Raises the target's Attack by two stages and confuses the target.","Raises the target's [Attack]{mechanic:attack} by two [stages]{mechanic:stage}, then [confuses]{mechanic:confuses} it.  If the target's [Attack]{mechanic:attack} cannot be [raised]{mechanic:raised} by two [stages]{mechanic:stage}, the [confusion]{mechanic:",,"swagger","confusion",,,"2","5",0,0,0,0,0,0,"The user enrages and confuses the target.
However, this also sharply raises the
target’s Attack stat.","2",,,"2"
208,"milk-drink","normal",,10,,0,"user","status","Heals the user by half its max HP.","Heals the user for half its max [HP]{mechanic:hp}.",,"heal","none",,,,,0,50,0,0,0,0,"The user restores its own HP
by up to half of its max HP.
May also be used in the field to heal HP.",,,,
209,"spark","electric","65",20,"100",0,"selected-pokemon","physical","Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [paralyze]{mechanic:paralyze} the target.","30","damage+ailment","paralysis",,,,,0,0,0,30,0,0,"The user throws an electrically charged
tackle at the target. This may also leave
the target with paralysis.",,,,
210,"fury-cutter","bug","40",20,"95",0,"selected-pokemon","physical","Power doubles every turn this move is used in succession after the first, maxing out after five turns.","Inflicts [regular damage]{mechanic:regular-damage}.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the [field]{mechanic:field}, power resets.",,"damage","none",,,,,0,0,0,0,0,0,"The target is slashed with scythes or
claws. This attack becomes more powerful
if it hits in succession.",,,,
211,"steel-wing","steel","70",25,"90",0,"selected-pokemon","physical","Has a $effect_chance% chance to raise the user's Defense by one stage.","Inflicts [regular damage]{mechanic:regular-damage}. Has a $effect_chance% chance to raise the user's [Defense]{mechanic:defense} one [stage]{mechanic:stage}.","10","damage+raise","none",,,,,0,0,0,0,0,10,"The target is hit with wings of steel.
This may also raise the user’s Defense stat.","3",,,"1"
212,"mean-look","normal",,5,,0,"selected-pokemon","status","Prevents the target from leaving battle.","The target cannot [switch out]{mechanic:switch-out} normally.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  This effect ends when the user leaves the [field]{mechanic:field}.

The target may still escape by using []{",,"unique","none",,,,,0,0,0,0,0,0,"The user pins the target with a dark,
arresting look.
The target becomes unable to flee.",,,,
213,"attract","normal",,15,"100",0,"selected-pokemon","status","Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.","Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will [fail]{mechanic:fail}.  If either Pokémon leaves the [field]{mechanic:fi",,"ailment","infatuation",,,,,0,0,0,0,0,0,"If it is the opposite gender of the user,
the target becomes infatuated and less
likely to attack.",,,,
214,"sleep-talk","normal",,10,,0,"user","status","Randomly uses one of the user's other three moves.  Only works if the user is sleeping.","Only usable if the user is [sleep]{mechanic:sleep}ing.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 [PP]{mechanic:pp}.

This move will not select []{move:assist}, []{move:bide}, []{move:b",,"unique","none",,,,,0,0,0,0,0,0,"While it is asleep, the user randomly uses
one of the moves it knows.",,,,
215,"heal-bell","normal",,5,,0,"user-and-allies","status","Cures the entire party of major status effects.","Removes [major status effects]{mechanic:major-status-effects} and [confusion]{mechanic:confusion} from every Pokémon in the user's party.",,"unique","none",,,,,0,0,0,0,0,0,"The user makes a soothing bell chime
to heal the status conditions of all the
party Pokémon.",,,,
216,"return","normal",,20,"100",0,"selected-pokemon","physical","Power increases with happiness, up to a maximum of 102.","Inflicts [regular damage]{mechanic:regular-damage}.  Power increases with [happiness]{mechanic:happiness}, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",,"damage","none",,,,,0,0,0,0,0,0,"A full-power attack that grows more
powerful the more the user likes
its Trainer.",,,,
217,"present","normal",,15,"90",0,"selected-pokemon","physical","Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.","Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts [regular damage]{mechanic:regular-damage} with 40 power  |    40%
Inflicts [",,"damage","none",,,,,0,0,0,0,0,0,"The user attacks by giving the target a
gift with a hidden trap. It restores
HP sometimes, however.",,,,
218,"frustration","normal",,20,"100",0,"selected-pokemon","physical","Power increases as happiness decreases, up to a maximum of 102.","Inflicts [regular damage]{mechanic:regular-damage}.  Power increases inversely with [happiness]{mechanic:happiness}, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",,"damage","none",,,,,0,0,0,0,0,0,"A full-power attack that grows more
powerful the less the user likes
its Trainer.",,,,
219,"safeguard","normal",,25,,0,"users-field","status","Protects the user's field from major status ailments and confusion for five turns.","Protects Pokémon on the user's side of the [field]{mechanic:field} from [major status]{mechanic:major-status} effects and [confusion]{mechanic:confusion} for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the",,"field-effect","none",,,,,0,0,0,0,0,0,"The user creates a protective field
that prevents status conditions
for five turns.",,,,
220,"pain-split","normal",,20,,0,"selected-pokemon","status","Sets the user's and targets's HP to the average of their current HP.","Changes the user's and target's remaining [HP]{mechanic:hp} to the average of their current remaining [HP]{mechanic:hp}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  This effect does not count as inflicting damage for",,"unique","none",,,,,0,0,0,0,0,0,"The user adds its HP to the target’s HP,
then equally shares the combined HP
with the target.",,,,
221,"sacred-fire","fire","100",5,"95",0,"selected-pokemon","physical","Has a $effect_chance% chance to [burn]{mechanic:burn} the target.  Lets frozen Pokémon thaw themselves.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn} the target.  [Frozen]{mechanic:frozen} Pokémon may use this move, in which case they will thaw.","50","damage+ailment","burn",,,,,0,0,0,50,0,0,"The target is razed with a mystical fire
of great intensity. This may also leave the
target with a burn.",,,,
222,"magnitude","ground",,30,"100",0,"all-other-pokemon","physical","Power varies randomly from 10 to 150.","Inflicts [regular damage]{mechanic:regular-damage}.  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    5",,"damage","none",,,,,0,0,0,0,0,0,"The user attacks everything around it
with a ground-shaking quake.
Its power varies.",,,,
223,"dynamic-punch","fighting","100",5,"50",0,"selected-pokemon","physical","Has a $effect_chance% chance to confuse the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [confuse]{mechanic:confuse} the target.","100","damage+ailment","confusion",,,"2","5",0,0,0,100,0,0,"The user punches the target with full,
concentrated power.
This confuses the target if it hits.",,,,
224,"megahorn","bug","120",10,"85",0,"selected-pokemon","physical","Inflicts regular damage with no additional effect.","Inflicts [regular damage]{mechanic:regular-damage}.",,"damage","none",,,,,0,0,0,0,0,0,"Using its tough and impressive horn,
the user rams into the target
with no letup.",,,,
225,"dragon-breath","dragon","60",20,"100",0,"selected-pokemon","special","Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [paralyze]{mechanic:paralyze} the target.","30","damage+ailment","paralysis",,,,,0,0,0,30,0,0,"The user exhales a mighty gust that
inflicts damage. This may also leave the
target with paralysis.",,,,
226,"baton-pass","normal",,40,,0,"user","status","Allows the trainer to switch out the user and pass effects along to its replacement.","User [switches out]{mechanic:switches-out}, and the trainer selects a replacement Pokémon from the party.  [Stat]{mechanic:stat} changes, [confusion]{mechanic:confusion}, and persistent move effects are passed along to the replacement Pokémon.

The fo",,"unique","none",,,,,0,0,0,0,0,0,"The user switches places with a party
Pokémon in waiting and passes along
any stat changes.",,,,
227,"encore","normal",,5,"100",0,"selected-pokemon","status","Forces the target to repeat its last used move every turn for 2 to 6 turns.","The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented fr",,"unique","none",,,,,0,0,0,0,0,0,"The user compels the target
to keep using only the move
it last used for three turns.",,,,
228,"pursuit","dark","40",20,"100",0,"selected-pokemon","physical","Has double power against, and can hit, Pokémon attempting to switch out.","Inflicts [regular damage]{mechanic:regular-damage}.  If the target attempts to [switch out]{mechanic:switch-out} this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pokémon that",,"damage","none",,,,,0,0,0,0,0,0,"An attack move that inflicts double damage
if used on a target that is switching out
of battle.",,,,
229,"rapid-spin","normal","20",40,"100",0,"selected-pokemon","physical","Frees the user from binding moves, removes Leech Seed, and blows away Spikes.","Inflicts [regular damage]{mechanic:regular-damage}.  Removes []{move:leech-seed} from the user, frees the user from []{move:bind}, []{move:clamp}, []{move:fire-spin}, []{move:magma-storm}, []{move:sand-tomb}, []{move:whirlpool}, and []{move:wrap}, and cle",,"damage","none",,,,,0,0,0,0,0,0,"A spin attack that can also eliminate
such moves as Bind, Wrap, Leech Seed,
and Spikes.",,,,
230,"sweet-scent","normal",,20,"100",0,"all-opponents","status","Lowers the target's evasion by one stage.","Lowers the target's [evasion]{mechanic:evasion} by one [stage]{mechanic:stage}.",,"net-good-stats","none",,,,,0,0,0,0,0,0,"A sweet scent that harshly lowers opposing
Pokémon’s evasiveness. This also lures wild
Pokémon if used in places such as tall grass.","8",,,"-2"
231,"iron-tail","steel","100",15,"75",0,"selected-pokemon","physical","Has a $effect_chance% chance to lower the target's Defense by one stage.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to lower the target's [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.","30","damage+lower","none",,,,,0,0,0,0,0,30,"The target is slammed with a steel-hard
tail. This may also lower the target’s
Defense stat.","3",,,"-1"
232,"metal-claw","steel","50",35,"95",0,"selected-pokemon","physical","Has a $effect_chance% chance to raise the user's Attack by one stage.","Inflicts [regular damage]{mechanic:regular-damage}. Has a $effect_chance% chance to raise the user's [Attack]{mechanic:attack} one [stage]{mechanic:stage}.","10","damage+raise","none",,,,,0,0,0,0,0,10,"The target is raked with steel claws.
This may also raise the user’s Attack stat.","2",,,"1"
233,"vital-throw","fighting","70",10,,-1,"selected-pokemon","physical","Never misses.","Inflicts [regular damage]{mechanic:regular-damage}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.",,"damage","none",,,,,0,0,0,0,0,0,"The user attacks last. In return, this throw
move never misses.",,,,
234,"morning-sun","normal",,5,,0,"user","status","Heals the user by half its max HP.  Affected by weather.","Heals the user for half its max [HP]{mechanic:hp}.

During []{move:sunny-day}, the healing is increased to 2/3 max [HP]{mechanic:hp}.

During []{move:hail}, []{move:rain-dance}, or []{move:sandstorm}, the healing is decreased to 1/4 max [HP]{mechanic:",,"heal","none",,,,,0,50,0,0,0,0,"The user restores its own HP.
The amount of HP regained varies
with the weather.",,,,
235,"synthesis","grass",,5,,0,"user","status","Heals the user by half its max HP.  Affected by weather.","Heals the user for half its max [HP]{mechanic:hp}.

During []{move:sunny-day}, the healing is increased to 2/3 max [HP]{mechanic:hp}.

During []{move:hail}, []{move:rain-dance}, or []{move:sandstorm}, the healing is decreased to 1/4 max [HP]{mechanic:",,"heal","none",,,,,0,50,0,0,0,0,"The user restores its own HP.
The amount of HP regained varies
with the weather.",,,,
236,"moonlight","fairy",,5,,0,"user","status","Heals the user by half its max HP.  Affected by weather.","Heals the user for half its max [HP]{mechanic:hp}.

During []{move:sunny-day}, the healing is increased to 2/3 max [HP]{mechanic:hp}.

During []{move:hail}, []{move:rain-dance}, or []{move:sandstorm}, the healing is decreased to 1/4 max [HP]{mechanic:",,"heal","none",,,,,0,50,0,0,0,0,"The user restores its own HP.
The amount of HP regained varies
with the weather.",,,,
237,"hidden-power","normal","60",15,"100",0,"selected-pokemon","special","Power and type depend upon user's IVs.  Power can range from 30 to 70.","Inflicts [regular damage]{mechanic:regular-damage}.  Power and type are determined by the user's [IV]{mechanic:iv}s.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the [IV]{mechanic:iv} for each of [Special Defense]{mech",,"damage","none",,,,,0,0,0,0,0,0,"A unique attack that varies in type
depending on the Pokémon using it.
",,,,
238,"cross-chop","fighting","100",5,"80",0,"selected-pokemon","physical","Has an increased chance for a critical hit.","Inflicts [regular damage]{mechanic:regular-damage}.  User's [critical hit]{mechanic:critical-hit} rate is one level higher when using this move.",,"damage","none",,,,,0,0,1,0,0,0,"The user delivers a double chop with its
forearms crossed.
Critical hits land more easily.",,,,
239,"twister","dragon","40",20,"100",0,"all-opponents","special","Has a $effect_chance% chance to make the target flinch.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to make each target [flinch]{mechanic:flinch}.

If the target is under the effect of []{move:bounce}, []{move:fly}, or []{move:sky-drop}, this move will hit with double po","20","damage","none",,,,,0,0,0,0,20,0,"The user whips up a vicious tornado
to tear at the opposing Pokémon.
This may also make them flinch.",,,,
240,"rain-dance","water",,5,,0,"entire-field","status","Changes the weather to rain for five turns.","Changes the weather to rain for five turns, during which []{type:water} moves inflict 50% extra damage, and []{type:fire} moves inflict half damage.

If the user is holding []{item:damp-rock}, this effect lasts for eight turns.

[]{move:thunder} has 1",,"whole-field-effect","none",,,,,0,0,0,0,0,0,"The user summons a heavy rain
that falls for five turns,
powering up Water-type moves.",,,,
