"id","identifier","species_id","height","weight","gender_rate","flavor_text"
166,"ledian",166,14,356,4,"It is said that in lands with clean air, where the stars fill the
sky, there live Ledian in countless numbers. There is a good
reason for this—the Pokémon uses the light of the stars as
its energy."
167,"spinarak",167,5,85,4,"The web spun by Spinarak can be considered its second
nervous system. It is said that this Pokémon can determine
what kind of prey is touching its web just by the tiny vibrations
it feels through the web’s strands."
168,"ariados",168,11,335,4,"Ariados’s feet are tipped with tiny hooked claws that enable it
to scuttle on ceilings and vertical walls. This Pokémon
constricts the foe with thin and strong silk webbing."
169,"crobat",169,18,750,4,"Crobat sneaks up on its intended prey using wings that barely
make a sound. This Pokémon rests by hanging on a tree
branch with its rear legs that serve as wings."
170,"chinchou",170,5,120,4,"Chinchou’s two antennas are filled with cells that generate
strong electricity. This Pokémon’s cells create so much
electrical power, it even makes itself tingle slightly."
171,"lanturn",171,12,225,4,"Lanturn is known to emit light. If you peer down into the dark
sea from a ship at night, you can sometimes see this
Pokémon’s light rising from the depths where it swims. It gives
the sea an appearance of a starlit night."
172,"pichu",172,3,20,4,"When Pichu plays with others, it may short out electricity with
another Pichu, creating a shower of sparks. In that event, this
Pokémon will begin crying, startled by the flash of sparks."
173,"cleffa",173,3,30,6,"On nights with many shooting stars, Cleffa can be seen
dancing in a ring. They dance through the night and stop only
at the break of day, when these Pokémon quench their thirst
with the morning dew."
174,"igglybuff",174,3,10,6,"Igglybuff has a soft and plushy body that feels very much like
a marshmallow. From this body wafts a gently sweet fragrance
that soothes and calms the emotions of its foes."
175,"togepi",175,3,15,1,"As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokémon.
This Pokémon stores up feelings of happiness inside its shell,
then shares them with others."
176,"togetic",176,6,32,1,"Togetic is said to be a Pokémon that brings good fortune.
When the Pokémon spots someone who is pure of heart,
it is said to appear and share its happiness with that person."
177,"natu",177,2,20,4,"Natu has a highly developed jumping ability. The Pokémon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the tree’s new shoots."
178,"xatu",178,15,150,4,"Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical Pokémon out of
their belief that Xatu is in possession of the power to see into
the future."
179,"mareep",179,6,78,4,"Mareep’s fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows."
180,"flaaffy",180,8,133,4,"Flaaffy’s wool quality changes so that it can generate
a high amount of static electricity with a small amount of
wool. The bare and slick parts of its hide are shielded
against electricity."
181,"ampharos",181,14,615,4,"Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this Pokémon
to send signals back and forth with others far away."
182,"bellossom",182,4,58,4,"A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloom—the more stinky the better. At night, this
Pokémon closes its petals and goes to sleep."
183,"marill",183,4,85,4,"When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokémon’s
tail is flexible and configured to stretch."
184,"azumarill",184,8,285,4,"Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokémon. The air balloons
enable the Pokémon in trouble to breathe."
185,"sudowoodo",185,12,380,4,"Sudowoodo camouflages itself as a tree to avoid being
attacked by enemies. However, because its hands remain
green throughout the year, the Pokémon is easily identified
as a fake during the winter."
186,"politoed",186,11,339,4,"The curled hair on Politoed’s head is proof of its status as a
king. It is said that the longer and more curled the hair, the
more respect this Pokémon earns from its peers."
187,"hoppip",187,4,5,4,"This Pokémon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away."
188,"skiploom",188,6,10,4,"Skiploom’s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokémon
is sometimes used as a thermometer."
189,"jumpluff",189,8,30,4,"Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokémon descends to the ground when it
encounters cold air while it is floating."
190,"aipom",190,8,115,4,"Aipom’s tail ends in a hand-like appendage that can be cleverly
manipulated. However, because the Pokémon uses its tail so
much, its real hands have become rather clumsy."
191,"sunkern",191,3,18,4,"Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew."
192,"sunflora",192,8,85,4,"Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night."
193,"yanma",193,12,380,4,"Yanma is capable of seeing 360 degrees without having to
move its eyes. It is a great flier that is adept at making sudden
stops and turning midair. This Pokémon uses its flying ability
to quickly chase down targeted prey."
194,"wooper",194,4,85,4,"Wooper usually lives in water. However, it occasionally comes
out onto land in search of food. On land, it coats its body with
a gooey, toxic film."
195,"quagsire",195,14,750,4,"Quagsire hunts for food by leaving its mouth wide open in
water and waiting for its prey to blunder in unaware. Because
the Pokémon does not move, it does not get very hungry."
196,"espeon",196,9,265,1,"Espeon is extremely loyal to any Trainer it considers to
be worthy. It is said that this Pokémon developed its
precognitive powers to protect its Trainer from harm."
197,"umbreon",197,10,270,1,"Umbreon evolved as a result of exposure to the moon’s waves.
It hides silently in darkness and waits for its foes to make a
move. The rings on its body glow when it leaps to attack."
198,"murkrow",198,5,21,4,"Murkrow was feared and loathed as the alleged bearer of ill
fortune. This Pokémon shows strong interest in anything that
sparkles or glitters. It will even try to steal rings from women."
199,"slowking",199,20,795,4,"Slowking undertakes research every day in an effort to solve
the mysteries of the world. However, this Pokémon apparently
forgets everything it has learned if the Shellder on its head
comes off."
200,"misdreavus",200,7,10,4,"Misdreavus frightens people with a creepy, sobbing cry.
The Pokémon apparently uses its red spheres to absorb the
fearful feelings of foes and turn them into nutrition."
201,"unown",201,5,50,-1,"This Pokémon is shaped like ancient writing. It is a mystery as
to which came first, the ancient writings or the various Unown.
Research into this topic is ongoing but nothing is known."
202,"wobbuffet",202,13,285,4,"Wobbuffet does nothing but endure attacks—it won’t attack on
its own. However, it won’t endure an attack on its tail. When
that happens, the Pokémon will try to take the foe with it using
Destiny Bond."
203,"girafarig",203,15,415,4,"Girafarig’s rear head contains a tiny brain that is too small for
thinking. However, the rear head doesn’t need to sleep, so it
can keep watch over its surroundings 24 hours a day."
204,"pineco",204,6,72,4,"Pineco hangs from a tree branch and patiently waits for prey to
come along. If the Pokémon is disturbed while eating by
someone shaking its tree, it drops down to the ground and
explodes with no warning."
205,"forretress",205,12,1258,4,"Forretress conceals itself inside its hardened steel shell.
The shell is opened when the Pokémon is catching prey,
but it does so at such a quick pace that the shell’s inside
cannot be seen."
206,"dunsparce",206,15,140,4,"Dunsparce has a drill for its tail. It uses this tail to burrow into
the ground backward. This Pokémon is known to make its
nest in complex shapes deep under the ground."
207,"gligar",207,11,648,4,"Gligar glides through the air without a sound as if it were
sliding. This Pokémon hangs on to the face of its foe using
its clawed hind legs and the large pincers on its forelegs, then
injects the prey with its poison barb."
208,"steelix",208,92,4000,4,"Steelix lives even further underground than Onix.
This Pokémon is known to dig toward the earth’s core.
There are records of this Pokémon reaching a depth of
over six-tenths of a mile underground."
209,"snubbull",209,6,78,6,"By baring its fangs and making a scary face, Snubbull sends
smaller Pokémon scurrying away in terror. However, this
Pokémon seems a little sad at making its foes flee."
210,"granbull",210,14,487,6,"Granbull has a particularly well-developed lower jaw.
The enormous fangs are heavy, causing the Pokémon to tip
its head back for balance. Unless it is startled, it will not try to
bite indiscriminately."
211,"qwilfish",211,5,39,4,"Qwilfish sucks in water, inflating itself. This Pokémon
uses the pressure of the water it swallowed to shoot toxic
quills all at once from all over its body. It finds swimming
somewhat challenging."
212,"scizor",212,18,1180,4,"Scizor has a body with the hardness of steel. It is not easily
fazed by ordinary sorts of attacks. This Pokémon flaps its
wings to regulate its body temperature."
213,"shuckle",213,6,205,4,"Shuckle quietly hides itself under rocks, keeping its body
concealed inside its hard shell while eating berries it has
stored away. The berries mix with its body fluids to become
a juice."
214,"heracross",214,15,540,4,"Heracross has sharp claws on its feet. These are planted
firmly into the ground or the bark of a tree, giving the
Pokémon a secure and solid footing to forcefully fling away
foes with its proud horn."
215,"sneasel",215,9,280,4,"Sneasel scales trees by punching its hooked claws into the
bark. This Pokémon seeks out unguarded nests and steals
eggs for food while the parents are away."
216,"teddiursa",216,6,88,4,"This Pokémon likes to lick its palms that are sweetened by
being soaked in honey. Teddiursa concocts its own honey
by blending fruits and pollen collected by Beedrill."
217,"ursaring",217,18,1258,4,"In the forests inhabited by Ursaring, it is said that there are
many streams and towering trees where they gather food. This
Pokémon walks through its forest gathering food every day."
218,"slugma",218,7,350,4,"Slugma does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokémon’s body,
carrying essential nutrients and oxygen to its organs."
219,"magcargo",219,8,550,4,"Magcargo’s body temperature is approximately
18,000 degrees Fahrenheit. Water is vaporized on contact.
If this Pokémon is caught in the rain, the raindrops instantly
turn into steam, cloaking the area in a thick fog."
220,"swinub",220,4,65,4,"Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokémon occasionally roots out hot springs."
221,"piloswine",221,11,558,4,"Piloswine is covered by a thick coat of long hair that enables
it to endure the freezing cold. This Pokémon uses its tusks to
dig up food that has been buried under ice."
222,"corsola",222,6,50,6,"Clusters of Corsola congregate in warm seas where they serve
as ideal hiding places for smaller Pokémon. When the water
temperature falls, this Pokémon migrates to the southern seas."
223,"remoraid",223,6,120,4,"Remoraid sucks in water, then expels it at high velocity using
its abdominal muscles to shoot down flying prey. When
evolution draws near, this Pokémon travels downstream
from rivers."
224,"octillery",224,9,285,4,"Octillery grabs onto its foe using its tentacles. This Pokémon
tries to immobilize it before delivering the finishing blow. If the
foe turns out to be too strong, Octillery spews ink to escape."
225,"delibird",225,9,160,4,"Delibird carries its food bundled up in its tail. There once was
a famous explorer who managed to reach the peak of the
world’s highest mountain, thanks to one of these Pokémon
sharing its food."
226,"mantine",226,21,2200,4,"On sunny days, schools of Mantine can be seen elegantly
leaping over the sea’s waves. This Pokémon is not bothered
by the Remoraid that hitches rides."
227,"skarmory",227,17,505,4,"Skarmory’s steel wings become tattered and bashed in from
repeated battles. Once a year, the battered wings grow back
completely, restoring the cutting edges to their pristine state."
228,"houndour",228,6,108,4,"Houndour hunt as a coordinated pack. They communicate
with each other using a variety of cries to corner their prey.
This Pokémon’s remarkable teamwork is unparalleled."
229,"houndoom",229,14,350,4,"In a Houndoom pack, the one with its horns raked sharply
toward the back serves a leadership role. These Pokémon
choose their leader by fighting among themselves."
230,"kingdra",230,18,1520,4,"Kingdra sleeps on the seafloor where it is otherwise devoid
of life. When a storm arrives, the Pokémon is said to awaken
and wander about in search of prey."
231,"phanpy",231,5,335,4,"Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokémon can be seen drying their soaking-wet
bodies at the edge of water."
232,"donphan",232,11,1200,4,"If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokémon
helps clear rock and mud slides that block mountain trails."
233,"porygon2",233,6,325,-1,"Porygon2 was created by humans using the power of science.
The man-made Pokémon has been endowed with artificial
intelligence that enables it to learn new gestures and emotions
on its own."
234,"stantler",234,14,712,4,"Stantler’s magnificent antlers were traded at high prices as
works of art. As a result, this Pokémon was hunted close to
extinction by those who were after the priceless antlers."
235,"smeargle",235,12,580,4,"Smeargle marks the boundaries of its territory using a body
fluid that leaks out from the tip of its tail. Over 5,000 different
marks left by this Pokémon have been found."
236,"tyrogue",236,7,210,0,"Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokémon, the Trainer must establish
and uphold various training methods."
237,"hitmontop",237,14,480,0,"Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokémon travels
faster spinning than it does walking."
238,"smoochum",238,4,60,8,"Smoochum actively runs about, but also falls quite often.
Whenever the chance arrives, it will look for its reflection to
make sure its face hasn’t become dirty."
239,"elekid",239,6,235,2,"Elekid stores electricity in its body. If it touches metal and
accidentally discharges all its built-up electricity, this Pokémon
begins swinging its arms in circles to recharge itself."
240,"magby",240,7,214,2,"Magby’s state of health is determined by observing the fire it
breathes. If the Pokémon is spouting yellow flames from its
mouth, it is in good health. When it is fatigued, black smoke
will be mixed in with the flames."
241,"miltank",241,12,755,8,"Miltank gives over five gallons of milk on a daily basis. Its
sweet milk is enjoyed by children and grown-ups alike. People
who can’t drink milk turn it into yogurt and eat it instead."
242,"blissey",242,15,468,8,"Blissey senses sadness with its fluffy coat of fur. If it does so,
this Pokémon will rush over to a sad person, no matter how far
away, to share a Lucky Egg that brings a smile to any face."
243,"raikou",243,19,1780,-1,"Raikou embodies the speed of lightning. The roars of
this Pokémon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down."
244,"entei",244,21,1980,-1,"Entei embodies the passion of magma. This Pokémon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch."
245,"suicune",245,20,1870,-1,"Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokémon has
the power to purify dirty water."
246,"larvitar",246,6,720,4,"Larvitar is born deep under the ground. To come up to the
surface, this Pokémon must eat its way through the soil above.
Until it does so, Larvitar cannot see its parents."
247,"pupitar",247,12,1520,4,"Pupitar creates a gas inside its body that it compresses and
forcefully ejects to propel itself like a jet. The body is very
durable—it avoids damage even if it hits solid steel."
248,"tyranitar",248,20,2020,4,"Tyranitar is so overwhelmingly powerful, it can bring down a
whole mountain to make its nest. This Pokémon wanders about
in mountains seeking new opponents to fight."
249,"lugia",249,52,2160,-1,"Lugia’s wings pack devastating power—a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokémon chooses to live out of sight deep under the sea."
250,"ho-oh",250,38,1990,-1,"Ho-Oh’s feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokémon is said to live at
the foot of a rainbow."
251,"celebi",251,6,50,-1,"This Pokémon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us."
252,"treecko",252,5,50,1,"Treecko is cool, calm, and collected—it never panics under
any situation. If a bigger foe were to glare at this Pokémon,
it would glare right back without conceding an inch of ground."
253,"grovyle",253,9,216,1,"This Pokémon adeptly flies from branch to branch in trees.
In a forest, no Pokémon can ever hope to catch a fleeing
Grovyle however fast they may be."
254,"sceptile",254,17,522,1,"Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokémon
raises the trees in a forest with loving care."
255,"torchic",255,4,25,1,"Torchic has a place inside its body where it keeps its flame.
Give it a hug—it will be glowing with warmth. This Pokémon is
covered all over by a fluffy coat of down."
256,"combusken",256,9,195,1,"Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokémon’s cry is very loud and distracting."
257,"blaziken",257,19,520,1,"Blaziken has incredibly strong legs—it can easily clear a
30-story building in one leap. This Pokémon’s blazing punches
leave its foes scorched and blackened."
258,"mudkip",258,4,76,1,"In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokémon will unleash
its amazing power—it can crush rocks bigger than itself."
259,"marshtomp",259,7,280,1,"Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokémon’s hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs."
260,"swampert",260,15,819,1,"Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself."
261,"poochyena",261,5,136,4,"Poochyena is an omnivore—it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokémon tries to intimidate its foes by making the hair on its
tail bristle out."
262,"mightyena",262,10,370,4,"Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokémon to obey only
those Trainers that it recognizes to possess superior skill."
263,"zigzagoon",263,4,175,4,"The hair on Zigzagoon’s back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokémon
may play dead to fool foes in battle."
264,"linoone",264,5,325,4,"When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokémon is capable of topping
60 mph, it has to come to a screeching halt before it can turn."
265,"wurmple",265,3,36,4,"Wurmple is targeted by Swellow as prey. This Pokémon
will try to resist by pointing the spikes on its rear at the
attacking predator. It will weaken the foe by leaking poison
from the spikes."
266,"silcoon",266,6,100,4,"Silcoon was thought to endure hunger and not consume
anything before its evolution. However, it is now thought
that this Pokémon slakes its thirst by drinking rainwater
that collects on its silk."
267,"beautifly",267,10,284,4,"Beautifly has a long mouth like a coiled needle, which is very
convenient for collecting pollen from flowers. This Pokémon
rides the spring winds as it flits around gathering pollen."
268,"cascoon",268,7,115,4,"If it is attacked, Cascoon remains motionless however badly it
may be hurt. It does so because if it were to move, its body
would be weak upon evolution. This Pokémon will also not
forget the pain it endured."
269,"dustox",269,12,316,4,"When Dustox flaps its wings, a fine dust is scattered all over.
This dust is actually a powerful poison that will even make a
pro wrestler sick. This Pokémon searches for food using its
antennae like radar."
270,"lotad",270,5,26,4,"Lotad is said to have dwelled on land before. However, this
Pokémon is thought to have returned to water because the
leaf on its head grew large and heavy. It now lives by floating
atop the water."
271,"lombre",271,12,325,4,"Lombre’s entire body is covered by a slippery, slimy film.
It feels horribly unpleasant to be touched by this Pokémon’s
hands. Lombre is often mistaken for a human child."
272,"ludicolo",272,15,550,4,"Upon hearing an upbeat and cheerful rhythm, the cells in
Ludicolo’s body become very energetic and active. Even
in battle, this Pokémon will exhibit an amazing amount
of power."
273,"seedot",273,5,40,4,"Seedot looks exactly like an acorn when it is dangling from a
tree branch. It startles other Pokémon by suddenly moving.
This Pokémon polishes its body once a day using leaves."
274,"nuzleaf",274,10,280,4,"This Pokémon pulls out the leaf on its head and makes a flute
with it. The sound of Nuzleaf’s flute strikes fear and uncertainty
in the hearts of people lost in a forest."
275,"shiftry",275,13,596,4,"Shiftry’s large fans generate awesome gusts of wind at a
speed close to 100 feet per second. The whipped-up wind
blows anything away. This Pokémon chooses to live quietly
deep in forests."
276,"taillow",276,3,23,4,"Taillow is young—it has only just left its nest. As a result,
it sometimes becomes lonesome and cries at night.
This Pokémon feeds on Wurmple that live in forests."
277,"swellow",277,7,198,4,"Swellow is very conscientious about the upkeep of its glossy
wings. Once two Swellow are gathered, they diligently take
care of cleaning each other’s wings."
278,"wingull",278,6,95,4,"Wingull rides updrafts rising from the sea by extending its long
and narrow wings to glide. This Pokémon’s long beak is useful
for catching prey."
279,"pelipper",279,12,280,4,"Pelipper searches for food while in flight by skimming the wave
tops. This Pokémon dips its large bill in the sea to scoop up
food, then swallows everything in one big gulp."
280,"ralts",280,4,66,4,"Ralts has the ability to sense the emotions of people. If its
Trainer is in a cheerful mood, this Pokémon grows cheerful
and joyous in the same way."
281,"kirlia",281,8,202,4,"Kirlia uses the horns on its head to amplify its psychokinetic
power. When the Pokémon uses its power, the air around it
becomes distorted, creating mirages of nonexistent scenery."
282,"gardevoir",282,16,484,4,"Gardevoir has the psychokinetic power to distort the
dimensions and create a small black hole. This Pokémon
will try to protect its Trainer even at the risk of its own life."
283,"surskit",283,5,17,4,"If Surskit senses danger, it secretes a thick, sugary syrup from
the tip of its head. There are some Pokémon that love eating
this syrup."
284,"masquerain",284,8,36,4,"Masquerain’s antennas have eyelike patterns that usually
give it an angry look. If the “eyes” are droopy and appear sad,
it is said to be a sign that a heavy rainfall is on its way."
285,"shroomish",285,4,45,4,"If Shroomish senses danger, it shakes its body and scatters
spores from the top of its head. This Pokémon’s spores are
so toxic, they make trees and weeds wilt."
286,"breloom",286,12,392,4,"The seeds ringing Breloom’s tail are made of hardened toxic
spores. It is horrible to eat the seeds. Just taking a bite of this
Pokémon’s seed will cause your stomach to rumble."
287,"slakoth",287,8,240,4,"Slakoth’s heart beats just once a minute. Whatever happens,
it is content to loaf around motionless. It is rare to see this
Pokémon in motion."
288,"vigoroth",288,14,465,4,"Vigoroth is simply incapable of remaining still. Even when it
tries to sleep, the blood in its veins grows agitated, compelling
this Pokémon to run wild throughout the jungle before it can
settle down."
289,"slaking",289,20,1305,4,"Wherever Slaking live, rings of over a yard in diameter appear
in grassy fields. They are made by the Pokémon as it eats all
the grass within reach while lying prone on the ground."
290,"nincada",290,5,55,4,"Nincada lives underground. It uses its sharp claws to carve the
roots of trees and absorb moisture and nutrients.
This Pokémon can’t withstand bright sunlight so avoids it."
291,"ninjask",291,8,120,4,"If Ninjask is not trained properly, it will refuse to obey
the Trainer and cry loudly continuously. Because of this
quality, this Pokémon is said to be one that puts the
Trainer’s abilities to the test."
292,"shedinja",292,8,12,-1,"Shedinja is a peculiar Pokémon. It seems to appear unsought
in a Poké Ball after a Nincada evolves. This bizarre Pokémon
is entirely immobile—it doesn’t even breathe."
293,"whismur",293,6,163,4,"Whismur is very timid. If it starts to cry loudly, it becomes
startled by its own crying and cries even harder. When it finally
stops crying, the Pokémon goes to sleep, all tired out."
294,"loudred",294,10,405,4,"Loudred shouts while stamping its feet. After it finishes
shouting, this Pokémon becomes incapable of hearing
anything for a while. This is considered to be a weak point."
295,"exploud",295,15,840,4,"Exploud communicates its feelings to the others by emitting
whistle-like sounds from the tubes on its body. This Pokémon
only raises its voice when it is in battle."
296,"makuhita",296,10,864,2,"Makuhita has a tireless spirit—it will never give up hope.
It eats a lot of food, gets plenty of sleep, and it trains very
rigorously. By living that way, this Pokémon packs its body
with energy."
297,"hariyama",297,23,2538,2,"Hariyama’s thick body may appear fat, but it is actually a hunk
of solid muscle. If this Pokémon bears down and tightens all its
muscles, its body becomes as hard as a rock."
298,"azurill",298,2,20,6,"Azurill’s tail is large and bouncy. It is packed full of the
nutrients this Pokémon needs to grow. Azurill can be seen
bouncing and playing on its big, rubbery tail."
299,"nosepass",299,10,970,4,"Nosepass had been said to be completely unmoving, with its
magnetic nose pointed due north. However, close observation
has revealed that the Pokémon actually moves by a little over
3/8 of an inch every year."
300,"skitty",300,6,110,6,"Skitty is known to chase around playfully after its own tail.
In the wild, this Pokémon lives in holes in the trees of forests.
It is very popular as a pet because of its adorable looks."
301,"delcatty",301,11,326,6,"Delcatty sleeps anywhere it wants without keeping a permanent
nest. If other Pokémon approach it as it sleeps, this Pokémon
will never fight—it will just move away somewhere else."
302,"sableye",302,5,110,4,"Sableye digs the ground with sharpened claws to find rocks
that it eats. Substances in the eaten rocks crystallize and rise
up to the Pokémon’s body surface."
303,"mawile",303,6,115,4,"Don’t be taken in by this Pokémon’s cute face—it’s very
dangerous. Mawile fools the foe into letting down its guard,
then chomps down with its massive jaws. The steel jaws are
really horns that have been transformed."
304,"aron",304,4,600,4,"Aron has a body of steel. With one all-out charge, this
Pokémon can demolish even a heavy dump truck.
The destroyed dump truck then becomes a handy meal
for the Pokémon."
305,"lairon",305,9,1200,4,"Lairon feeds on iron contained in rocks and water. It makes
its nest on mountains where iron ore is buried. As a result,
the Pokémon often clashes with humans mining the iron ore."
306,"aggron",306,21,3600,4,"Aggron is protective of its environment. If its mountain is
ravaged by a landslide or a fire, this Pokémon will haul
topsoil to the area, plant trees, and beautifully restore its
own territory."
307,"meditite",307,6,112,4,"Meditite heightens its inner energy through meditation.
It survives on just one berry a day. Minimal eating is another
aspect of this Pokémon’s training."
308,"medicham",308,13,315,4,"Through the power of meditation, Medicham developed its

sixth sense. It gained the ability to use psychokinetic powers.
This Pokémon is known to meditate for a whole month
without eating."
309,"electrike",309,6,152,4,"Electrike runs faster than the human eye can follow.
The friction from running is converted into electricity,
which is then stored in this Pokémon’s fur."
310,"manectric",310,15,402,4,"Manectric discharges strong electricity from its mane.
The mane is used for collecting electricity in the atmosphere.
This Pokémon creates thunderclouds above its head."
311,"plusle",311,4,42,4,"When Plusle is cheering on its partner, it flashes with electric
sparks from all over its body. If its partner loses, this Pokémon
cries loudly."
312,"minun",312,4,42,4,"Minun loves to cheer on its partner in battle. It gives off sparks
from its body while it is doing so. If its partner is in trouble,
this Pokémon gives off increasing amounts of sparks."
313,"volbeat",313,7,177,0,"Volbeat’s tail glows like a lightbulb. With other Volbeat,
it uses its tail to draw geometric shapes in the night sky.
This Pokémon loves the sweet aroma given off by Illumise."
314,"illumise",314,6,177,8,"Illumise leads a flight of illuminated Volbeat to draw signs in
the night sky. This Pokémon is said to earn greater respect
from its peers by composing more complex designs in the sky."
315,"roselia",315,3,20,4,"On extremely rare occasions, a Roselia is said to appear with
its flowers in unusual colors. The thorns on this Pokémon’s
head contain a vicious poison."
316,"gulpin",316,4,103,4,"Most of Gulpin’s body is made up of its stomach—its heart and
brain are very small in comparison. This Pokémon’s stomach
contains special enzymes that dissolve anything."
317,"swalot",317,17,800,4,"Swalot has no teeth, so what it eats, it swallows whole, no
matter what. Its cavernous mouth yawns widely. An automobile
tire could easily fit inside this Pokémon’s mouth."
318,"carvanha",318,8,208,4,"If anything invades Carvanha’s territory, it will swarm and tear
at the intruder with its pointed fangs. On its own, however, this
Pokémon turns suddenly timid."
319,"sharpedo",319,18,888,4,"Sharpedo can swim at speeds of up to 75 mph by jetting
seawater out of its backside. This Pokémon’s drawback is its
inability to swim long distances."
320,"wailmer",320,20,1300,4,"Wailmer can store water inside its body to transform itself
into a ball for bouncing around on the ground. By filling itself
up with more water, this Pokémon can elevate the height of
its bounces."
321,"wailord",321,145,3980,4,"When chasing prey, Wailord herds them by leaping out of the
water and making a humongous splash. It is breathtaking to
see this Pokémon leaping out of the sea with others in its pod."
322,"numel",322,7,240,4,"Numel stores magma of almost 2,200 degrees Fahrenheit
within its body. If it gets wet, the magma cools and hardens.
In that event, the Pokémon’s body grows heavy and its
movements become sluggish."
323,"camerupt",323,19,2200,4,"The humps on Camerupt’s back are formed by a transformation
of its bones. They sometimes blast out molten magma.
This Pokémon apparently erupts often when it is enraged."
324,"torkoal",324,5,804,4,"Torkoal generates energy by burning coal. It grows weaker
as the fire dies down. When it is preparing for battle, this
Pokémon burns more coal."
325,"spoink",325,7,306,4,"Spoink keeps a pearl on top of its head. The pearl functions to
amplify this Pokémon’s psychokinetic powers. It is therefore on
a constant search for a bigger pearl."
326,"grumpig",326,9,715,4,"Grumpig uses the black pearls on its body to wield
its fantastic powers. When it is doing so, it dances bizarrely.
This Pokémon’s black pearls are valuable as works of art."
327,"spinda",327,11,50,4,"No two Spinda are said to have identical spot patterns on their
hides. This Pokémon moves in a curious manner as if it is
stumbling in dizziness. Its lurching movements can cause the
opponent to become confused."
328,"trapinch",328,7,150,4,"Trapinch is a patient hunter. It digs an inescapable pit in a
desert and waits for its prey to come tumbling down. This
Pokémon can go a whole week without access to any water."
329,"vibrava",329,11,153,4,"Vibrava’s wings have not yet completed the process of
growing. Rather than flying long distances, they are more
useful for generating ultrasonic waves by vibrating."
330,"flygon",330,20,820,4,"Flygon whips up a sandstorm by flapping its wings. The wings
create a series of notes that sound like singing. Because the
“singing” is the only thing that can be heard in a sandstorm,
this Pokémon is said to be the desert spirit."
331,"cacnea",331,4,513,4,"The more arid and harsh the environment, the more pretty and
fragrant a flower Cacnea grows. This Pokémon battles by
wildly swinging its thorny arms."
332,"cacturne",332,13,774,4,"If a traveler is going through a desert in the thick of night,
Cacturne will follow in a ragtag group. The Pokémon are
biding their time, waiting for the traveler to tire and become
incapable of moving."
333,"swablu",333,4,12,4,"Swablu loves to make things clean. If it spots something dirty,
it will wipe and polish it with its cottony wings. If its wings
become dirty, this Pokémon finds a stream and showers itself."
334,"altaria",334,11,206,4,"Altaria sings in a gorgeous soprano. Its wings are like cotton
clouds. This Pokémon catches updrafts with its buoyant wings
and soars way up into the wild blue yonder."
335,"zangoose",335,13,403,4,"Zangoose usually stays on all fours, but when angered, it gets
up on its hind legs and extends its claws. This Pokémon shares
a bitter rivalry with Seviper that dates back over generations."
